Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x15,x16,x17,x18,x19,x20
0,-0.547,0.514,0.298,-1.217,-0.427,0.66,-0.949,-0.043,-1.302,-0.201,-0.744,0.664,0.303,-0.845,1.0,1.074,-0.6,0.244,3.8,0.732,0.337
1,-0.753,0.746,1.089,-0.555,0.247,1.815,-0.971,0.058,-0.753,-0.656,-0.51,1.233,1.145,-0.053,1.0,1.436,-0.389,0.667,3.77,0.285,-0.118
2,-0.586,0.712,0.887,-1.281,0.033,1.202,-1.354,0.083,-0.779,-0.342,-0.386,1.121,1.07,-0.026,1.0,1.236,-0.56,0.213,4.268,0.647,0.095
3,-0.682,0.736,0.682,-1.052,-0.103,1.218,-0.658,0.01,-1.235,-0.141,-0.591,0.796,0.591,-0.631,1.0,1.235,-0.335,0.32,3.489,0.413,-0.049
4,-0.852,0.73,1.038,-0.616,0.649,1.746,-1.141,0.239,-0.883,-0.473,-0.525,1.227,1.034,-0.308,1.0,1.342,-0.244,0.538,4.048,0.007,-0.104
5,-0.897,0.849,1.204,-0.876,0.299,1.643,-0.799,-0.115,-0.854,-0.158,-0.503,0.558,1.061,-0.399,1.0,1.274,-0.644,0.184,3.643,0.52,0.16
6,-0.974,0.554,0.775,-1.316,-0.221,1.468,-0.582,0.171,-1.286,-0.103,-0.629,0.965,0.658,-0.654,1.0,1.301,-0.28,0.116,3.435,0.35,0.091
7,-0.573,0.681,0.688,-0.901,-0.229,1.285,-0.726,0.274,-1.028,-0.416,-0.565,0.818,0.814,-0.34,1.0,1.157,-0.419,0.29,3.73,0.851,0.194
8,-0.729,0.713,0.971,-0.599,0.158,1.724,-1.153,0.234,-0.574,-0.607,-0.403,1.319,1.481,0.162,1.0,1.285,-0.022,0.556,3.908,0.406,0.227
9,-0.697,0.643,0.626,-1.034,0.11,1.476,0.469,0.101,-1.803,0.085,-0.152,1.081,0.244,-0.857,1.0,1.547,0.208,-0.123,3.046,-0.026,-0.443
10,-0.454,0.888,0.695,-1.096,-0.078,0.678,-2.203,0.136,-0.353,-0.518,-0.53,0.419,0.785,-0.095,0.0,0.685,-2.206,0.18,4.235,0.857,0.546
11,-0.704,0.766,0.968,-1.226,-0.326,1.056,-2.092,0.127,-0.526,-0.115,-0.684,0.483,1.005,-0.321,0.0,0.8,-2.224,-0.077,4.781,0.9,0.581
12,-0.474,0.67,0.439,-1.14,-0.559,0.854,-2.086,0.195,-0.772,-0.252,-0.767,0.357,0.583,-0.42,0.0,1.008,-2.404,0.105,4.625,1.06,0.382
13,-0.572,0.6,0.718,-1.222,-0.447,1.254,-1.844,0.148,-0.646,-0.563,-0.464,0.915,0.787,-0.042,0.0,1.056,-2.249,0.49,4.721,0.615,0.305
14,-0.371,0.804,0.473,-1.143,-0.368,0.469,-2.347,0.022,-0.616,-0.122,-0.79,-0.01,0.518,-0.574,0.0,0.713,-2.497,-0.127,4.72,0.871,0.465
15,-0.433,0.687,0.702,-0.682,-0.104,1.052,-1.702,0.064,-0.394,-0.441,-0.601,0.497,0.875,-0.162,0.0,0.647,-1.452,-0.007,3.837,0.743,0.445
16,-0.213,0.523,0.645,-1.25,-0.452,0.454,-2.065,0.306,-0.588,-0.233,-0.694,0.491,0.691,-0.15,0.0,0.722,-2.267,-0.018,4.351,1.006,0.532
17,-0.618,0.744,0.542,-0.684,-0.043,1.251,-1.314,0.22,-0.791,-0.393,-0.533,0.859,1.007,-0.279,0.0,1.447,-1.215,0.572,3.676,0.795,0.244
18,-0.442,0.864,0.464,-1.346,-0.459,0.792,-2.127,0.069,-0.979,-0.145,-0.711,0.523,0.592,-0.384,0.0,1.149,-2.249,0.184,4.758,0.976,0.557
19,-0.421,0.646,0.588,-1.129,-0.563,0.872,-1.959,0.155,-0.574,-0.462,-0.699,0.358,0.989,-0.043,0.0,1.046,-2.413,0.299,4.574,1.377,0.452
20,-0.43,0.855,0.728,-0.77,-0.254,1.2,-1.421,0.164,-0.613,-0.445,-0.42,0.617,1.015,-0.067,0.0,0.996,-1.748,0.398,3.617,0.942,0.309
21,-0.267,0.449,0.423,-1.136,-0.772,0.482,-2.042,0.17,-0.364,-0.525,-0.48,0.34,0.753,-0.263,0.0,0.593,-1.59,0.031,3.439,1.017,0.522
22,-0.384,0.639,0.446,-1.524,-0.806,0.247,-2.23,0.109,-0.98,0.048,-0.675,-0.015,0.128,-0.863,0.0,0.781,-2.849,0.0,5.052,1.248,0.531
23,-0.565,0.35,0.646,-0.817,-0.157,1.268,-1.439,0.357,-0.603,-0.573,-0.582,1.036,1.13,0.082,0.0,1.114,-1.319,0.64,3.823,0.659,0.166
24,-0.514,0.577,0.687,-1.256,-0.568,0.843,-1.341,0.088,-0.732,-0.038,-0.766,0.515,0.704,-0.363,0.0,0.87,-1.475,0.008,3.509,0.996,0.486
25,-0.746,0.663,1.027,-0.783,0.153,1.518,-2.014,0.171,-0.315,-0.628,-0.494,0.868,1.421,0.246,0.0,1.196,-1.931,0.392,4.552,0.679,0.338
26,-0.551,0.509,0.712,-1.515,-0.653,1.131,-1.398,0.041,-1.074,-0.067,-0.702,0.503,0.888,-0.401,0.0,1.46,-1.683,0.223,4.348,0.862,0.154
27,-0.376,0.665,0.625,-1.153,-0.713,0.572,-2.046,0.256,-0.621,-0.284,-0.866,0.509,0.733,-0.187,0.0,0.984,-2.151,0.099,4.264,1.207,0.636
28,-0.415,0.71,0.361,-1.007,-0.215,0.629,-1.499,0.211,-0.706,-0.613,-0.657,0.945,0.734,-0.108,0.0,1.096,-1.343,0.368,3.589,0.78,0.421
29,-0.627,0.935,1.323,-0.698,0.215,1.875,-2.026,0.212,-0.026,-0.92,-0.585,1.171,1.661,0.499,0.0,1.23,-1.651,0.721,4.339,0.429,0.216
30,-0.326,0.564,0.719,-1.144,-0.295,0.86,-1.783,-0.119,-0.909,-0.293,-0.693,0.547,0.786,-0.284,0.0,1.155,-2.022,0.21,4.486,0.944,0.295
31,-0.414,0.687,0.798,-1.115,-0.31,1.139,-2.206,0.078,-0.675,-0.357,-0.729,0.649,0.86,-0.09,0.0,1.134,-2.744,0.268,5.358,0.95,0.288
32,-0.431,0.692,0.994,-1.06,-0.171,1.296,-1.264,-0.001,-0.748,-0.57,-0.488,0.823,0.868,-0.054,0.0,1.148,-1.812,0.437,4.07,0.625,0.029
33,-0.628,0.695,0.696,-1.141,-0.589,1.279,-1.404,-0.048,-0.602,-0.319,-0.722,0.257,0.915,-0.136,0.0,0.778,-1.634,0.064,3.686,1.027,0.463
34,-0.625,0.696,0.841,-0.716,-0.048,1.358,-1.246,-0.025,-0.67,-0.415,-0.532,0.759,1.107,0.191,0.0,1.258,-1.442,0.402,3.555,0.675,0.19
35,-0.762,0.651,0.591,-0.934,-0.223,1.327,-1.368,0.285,-0.839,-0.325,-0.395,0.659,0.825,-0.452,0.0,0.982,-1.726,0.206,4.137,0.738,0.33
36,-0.529,0.582,0.685,-0.743,-0.275,0.83,-1.769,0.074,-0.464,-0.412,-0.554,0.695,0.969,-0.298,0.0,0.887,-1.265,0.188,3.528,1.011,0.433
37,-0.41,0.638,0.257,-1.353,-0.571,0.394,-1.944,-0.015,-1.192,-0.148,-0.495,0.618,0.433,-0.572,0.0,1.161,-2.693,0.237,4.865,0.863,0.595
38,-0.401,0.903,0.608,-1.214,-0.422,0.627,-2.092,0.195,-0.424,-0.432,-0.652,0.361,0.649,-0.347,0.0,0.681,-1.872,0.028,4.011,1.004,0.564
