x0,x1,x2,x3,y,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.625,-0.501,-2.056,-0.283,1.0,0.695,2.416,-0.149,1.23,-0.138,-0.61,5.572,-0.097,0.069,-1.012,-3.796,3.75,-1.987,0.322,1.462,1.993
0.54,-0.668,-2.238,0.012,1.0,0.474,2.481,-0.325,1.675,-0.345,-0.478,5.197,-0.06,0.115,-1.112,-3.636,3.939,-2.091,0.515,1.541,1.614
0.702,-0.458,-2.605,-0.215,1.0,0.47,2.784,-0.312,1.251,-0.045,-0.461,6.232,-0.004,0.133,-0.96,-3.654,3.298,-1.478,0.564,1.152,3.079
0.472,-0.545,-2.02,-0.039,1.0,0.802,2.269,-0.077,1.136,-0.284,-0.469,4.965,0.156,0.149,-1.454,-3.381,3.43,-1.821,1.217,1.598,1.697
0.919,-0.197,-2.821,0.386,1.0,0.533,2.876,-0.406,2.071,-0.545,-0.748,6.581,-0.151,0.128,-0.772,-4.678,4.664,-2.895,0.202,1.9,2.166
0.756,-0.589,-2.57,0.45,1.0,0.753,3.111,-0.102,1.331,-0.534,-0.664,6.827,0.449,0.081,-0.894,-4.349,3.526,-1.613,0.143,1.678,3.464
0.626,-0.618,-2.448,0.277,1.0,0.346,2.735,-0.289,1.526,-0.254,-0.73,6.009,-0.151,0.257,-0.55,-4.08,3.545,-1.856,0.244,1.507,2.62
0.697,-0.708,-2.275,0.269,1.0,0.558,3.022,-0.065,1.618,-0.355,-0.666,6.176,-0.112,0.006,-0.908,-4.201,3.823,-2.04,0.829,1.708,2.708
0.882,-0.403,-2.591,1.128,1.0,0.486,3.313,-0.37,1.778,-0.705,-1.028,6.194,0.305,0.001,-0.909,-4.628,4.416,-2.428,-0.004,1.871,1.969
0.718,-0.56,-2.646,-0.52,1.0,0.265,2.629,-0.28,1.536,0.141,-0.262,6.684,-0.355,0.172,-0.586,-4.093,4.465,-2.54,0.53,1.365,2.736
0.911,-0.514,-2.661,0.716,1.0,0.777,3.178,-0.293,1.534,-0.581,-0.986,6.432,0.445,-0.018,-1.054,-4.131,3.161,-1.643,0.691,1.844,2.868
0.678,-0.655,-3.02,-0.189,1.0,0.644,2.911,-0.288,1.553,-0.122,-0.575,6.974,-0.352,-0.011,-1.282,-4.188,4.355,-2.342,0.267,1.59,3.278
