Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,y,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,-0.572,-0.463,-0.287,-2.098,0.424,-0.822,3.412,0.425,0.132,1.0,0.886,0.043,-0.35,1.077,0.434,-1.576,1.124,0.237,3.131,-0.819,0.198
1,-0.572,-0.524,-0.247,-2.216,0.769,-0.589,4.156,0.478,0.384,1.0,0.875,-0.016,-0.205,1.022,0.179,-1.309,1.093,0.132,3.919,-0.53,0.499
2,-0.528,-0.507,-0.123,-1.953,0.55,-0.761,3.622,0.348,0.242,1.0,0.834,-0.067,-0.051,0.967,0.377,-1.493,1.159,0.178,3.756,-0.461,0.643
3,-0.409,-0.525,-0.259,-2.102,0.545,-0.676,3.505,0.597,0.244,1.0,0.556,0.071,-0.471,0.784,0.216,-1.021,1.214,0.27,3.184,-0.578,0.593
4,-0.339,-0.538,-0.284,-2.288,0.64,-0.415,3.989,0.618,0.391,1.0,0.832,-0.045,-0.376,0.558,0.275,-0.918,0.753,0.149,3.682,-0.172,0.901
5,-0.25,-0.809,-0.211,-2.639,0.611,-0.993,4.398,0.702,0.182,1.0,0.698,-0.27,-0.169,1.315,0.436,-1.532,0.861,0.425,3.752,-0.913,0.456
6,-0.521,-0.69,-0.251,-2.331,0.538,-0.819,4.701,0.575,0.247,1.0,1.079,-0.179,-0.217,1.1,0.294,-1.271,1.086,0.165,4.466,-0.55,0.697
7,-0.582,-0.464,-0.39,-2.538,0.431,-0.698,4.116,0.624,0.297,1.0,0.767,0.118,-0.258,0.923,0.151,-1.342,1.139,0.353,3.75,-0.762,0.362
8,-0.164,-0.495,-0.251,-2.159,0.465,-0.554,3.482,0.451,-0.029,1.0,0.607,0.046,-0.183,0.94,0.206,-1.332,1.275,0.147,3.458,-0.595,0.41
9,-0.226,-0.431,-0.361,-2.213,0.275,-0.657,4.177,0.485,0.385,1.0,0.922,-0.108,-0.22,0.904,0.181,-1.124,0.971,0.215,3.924,-0.686,0.383
10,-0.206,-0.687,-0.327,-2.531,0.368,-0.796,4.132,0.654,0.187,1.0,0.716,0.021,-0.326,0.887,0.37,-1.418,0.952,0.452,3.406,-0.856,0.388
11,-0.287,-0.414,-0.33,-2.117,0.394,-0.561,3.336,0.471,0.229,1.0,0.727,-0.458,-0.32,0.976,0.288,-1.311,0.94,0.133,3.277,-0.481,0.543
12,-0.226,-0.521,-0.17,-2.44,0.611,-0.909,4.719,0.619,0.139,1.0,0.939,-0.057,-0.082,1.296,0.384,-1.594,1.149,0.007,4.308,-0.845,0.291
13,-0.403,-0.377,-0.244,-2.21,0.511,-0.666,4.005,0.634,0.262,1.0,0.908,-0.014,-0.284,1.103,0.41,-1.72,1.223,0.199,3.576,-0.785,0.442
14,-0.7,-0.428,-0.173,-2.036,0.371,-1.296,3.468,0.175,0.418,1.0,0.507,0.201,-0.236,1.636,0.239,-1.625,1.475,0.282,3.049,-1.069,0.123
15,-0.47,-0.721,-0.114,-2.827,0.754,-0.888,5.329,0.601,0.297,1.0,1.125,0.083,-0.096,1.272,0.446,-1.749,1.21,0.193,4.955,-0.775,0.592
16,-0.356,-0.562,-0.315,-2.138,0.655,-1.109,3.748,0.503,0.225,1.0,0.79,0.246,-0.432,1.361,0.371,-1.664,1.29,0.086,3.399,-0.779,0.325
17,-0.178,-0.613,-0.261,-2.362,0.431,-0.353,3.938,0.597,0.078,1.0,1.07,-0.142,-0.235,0.474,0.315,-1.076,0.877,0.141,4.249,-0.022,1.013
18,-0.409,-0.635,-0.402,-2.6,0.759,-0.647,4.778,0.852,0.155,1.0,1.17,0.103,-0.144,0.743,0.147,-1.267,1.13,0.179,4.757,-0.481,0.721
19,-0.244,-0.849,-0.375,-2.903,0.699,-0.706,4.653,0.735,0.317,1.0,0.77,-0.054,0.104,0.689,0.347,-1.428,1.07,0.436,4.505,-0.498,0.629
20,-0.469,-0.863,-0.152,-2.625,0.864,-0.235,4.944,0.608,0.365,1.0,1.125,0.057,-0.175,0.777,0.385,-1.461,1.038,-0.045,4.874,-0.206,0.819
21,-0.119,-0.809,-0.415,-2.761,0.485,-0.421,4.338,0.521,0.036,1.0,0.809,0.099,-0.026,0.388,0.324,-1.137,1.045,0.507,4.438,-0.379,0.741
22,-0.469,-0.391,-0.342,-2.329,0.471,-0.721,4.011,0.676,0.44,1.0,0.723,-0.323,-0.309,0.964,0.366,-1.375,0.985,0.301,3.834,-0.57,0.371
23,-0.053,-0.611,-0.331,-2.546,0.486,-0.413,4.168,0.689,0.059,1.0,0.81,-0.136,-0.126,0.642,0.45,-1.251,1.03,0.246,4.038,-0.426,0.758
24,-0.374,-0.896,-0.192,-2.136,0.553,-0.714,4.284,0.694,0.417,1.0,0.768,-0.006,-0.234,1.125,0.291,-1.436,1.267,-0.079,4.082,-0.62,0.545
25,-0.387,-0.536,-0.347,-2.228,0.358,-0.572,3.913,0.588,0.148,1.0,0.795,-0.032,-0.5,0.874,0.112,-1.15,0.901,0.106,3.714,-0.381,0.721
26,-0.414,-0.538,-0.142,-2.229,0.63,-0.573,4.746,0.522,0.16,1.0,1.161,0.105,-0.185,1.216,0.24,-1.519,1.219,0.055,4.787,-0.596,0.735
27,-0.556,-0.694,-0.39,-2.497,0.753,-0.896,4.762,0.628,0.276,1.0,1.116,0.17,-0.263,1.492,0.192,-1.731,1.212,0.155,4.357,-0.869,0.635
28,0.065,-0.492,-0.214,-2.065,0.274,-0.729,3.53,0.481,-0.072,1.0,0.764,-0.301,-0.078,0.762,0.236,-1.221,1.095,0.211,3.848,-0.389,0.627
29,-0.264,-0.787,-0.357,-2.785,0.633,-0.497,4.471,0.611,0.319,1.0,0.95,-0.2,-0.257,0.81,0.268,-1.266,1.058,0.398,4.145,-0.529,0.654
30,-0.356,-0.621,-0.317,-2.62,0.556,-0.846,4.324,0.668,0.25,1.0,0.963,0.099,-0.298,0.973,0.227,-1.481,1.231,0.494,3.712,-0.971,0.446
31,-0.381,-0.703,-0.329,-2.264,0.613,-0.524,4.138,0.617,0.062,1.0,0.947,0.025,-0.303,0.715,0.13,-1.156,1.131,0.34,3.954,-0.467,0.652
32,-0.605,-0.792,-0.257,-2.448,0.638,-0.658,4.556,0.607,0.31,1.0,0.957,0.168,-0.188,0.94,0.379,-1.538,1.122,0.201,4.303,-0.608,0.332
33,-0.183,-0.621,-0.404,-3.152,0.78,-0.204,5.3,0.8,-0.016,1.0,0.852,0.04,-0.123,0.249,0.563,-1.383,1.105,0.35,5.362,-0.006,0.913
34,-0.286,-0.353,-0.231,-2.044,0.531,-0.699,4.185,0.547,0.091,1.0,0.86,-0.074,-0.169,1.152,0.196,-1.654,1.041,0.119,4.163,-0.54,0.762
35,-0.507,-0.563,-0.238,-2.243,0.598,-0.98,3.655,0.352,0.287,1.0,0.944,-0.183,-0.361,1.368,0.253,-1.734,1.202,0.204,3.27,-0.904,0.243
36,-0.385,-0.336,-0.27,-1.967,0.302,-0.627,3.438,0.563,0.244,1.0,0.759,-0.059,-0.302,1.025,0.295,-1.517,0.979,0.127,3.211,-0.541,0.438
37,-0.359,-0.534,-0.289,-2.41,0.417,-0.744,4.129,0.529,0.129,1.0,0.805,0.135,-0.229,1.043,0.302,-1.326,1.002,0.351,4.047,-0.619,0.496
38,-0.542,-0.426,-0.052,-1.871,0.577,-0.741,3.568,0.406,0.299,1.0,0.817,0.031,-0.406,1.195,0.327,-1.734,1.265,0.033,3.315,-0.787,0.628
39,-0.675,-0.848,-0.368,-2.896,0.755,-0.695,4.944,0.521,0.162,1.0,0.976,0.239,-0.115,0.751,0.375,-1.469,1.357,0.443,4.682,-0.567,0.798
40,-0.602,-0.767,-0.347,-2.577,0.702,-0.808,4.473,0.778,0.388,1.0,0.917,0.15,-0.261,1.23,0.171,-1.536,1.112,0.379,4.132,-0.699,0.504
41,-0.375,-0.624,-0.386,-2.632,0.742,-0.293,4.717,0.443,0.107,1.0,0.708,-0.051,-0.247,0.559,0.252,-1.253,1.106,0.346,4.888,-0.121,0.75
42,-0.295,-0.459,-0.324,-2.553,0.698,-0.494,4.47,0.848,0.107,1.0,0.988,0.11,-0.066,0.581,0.466,-1.133,1.143,0.223,4.512,-0.502,0.71
43,-0.36,-0.613,-0.252,-2.211,0.683,-0.501,4.27,0.578,0.339,1.0,0.836,-0.078,-0.255,0.843,0.346,-1.339,0.945,0.071,4.257,-0.356,0.797
44,-0.408,-0.352,-0.244,-2.153,0.628,-0.843,3.787,0.577,0.338,1.0,0.774,-0.169,-0.411,1.061,0.228,-1.179,0.973,0.138,3.42,-0.59,0.569
45,-0.472,-0.738,-0.011,-2.502,0.686,-1.056,5.215,0.363,0.208,1.0,0.949,-0.13,-0.192,1.82,0.411,-1.887,1.348,-0.149,4.804,-1.102,0.361
46,-0.549,-0.768,-0.592,-3.001,0.697,-0.508,4.691,0.891,0.246,1.0,1.129,0.26,-0.052,0.613,0.296,-1.388,1.177,0.569,4.714,-0.503,0.728
47,-0.014,-0.536,-0.376,-2.369,0.184,-0.58,3.767,0.568,-0.097,1.0,0.607,-0.016,-0.138,0.477,0.091,-0.95,1.038,0.448,3.919,-0.429,0.462
48,-0.594,-0.497,-0.232,-2.219,0.405,-0.847,3.902,0.409,0.324,1.0,0.721,-0.073,-0.324,1.181,0.205,-1.503,0.973,0.211,3.416,-0.8,0.189
49,-0.021,-0.798,-0.223,-3.146,0.755,-0.75,5.507,0.863,-0.13,1.0,0.966,0.149,-0.034,1.149,0.401,-1.862,1.213,0.228,5.297,-0.565,0.853
50,-0.156,-0.525,-0.409,-2.254,0.32,-0.347,3.673,0.683,0.21,0.0,0.69,-0.028,-0.231,0.542,0.296,-0.932,0.973,0.271,3.849,-0.146,0.95
51,-0.19,-0.451,-0.458,-2.183,0.485,0.085,3.679,0.48,0.306,0.0,0.59,-0.193,-0.229,0.412,0.273,-1.13,0.794,0.28,4.021,0.178,0.914
52,-0.558,-0.501,-0.542,-2.527,0.433,-0.068,3.607,0.7,0.5,0.0,0.563,0.117,-0.425,0.006,0.134,-0.72,0.763,0.514,3.651,0.074,0.775
53,-0.224,-0.239,-0.291,-2.146,0.627,-0.302,4.043,0.644,0.222,0.0,0.756,0.015,0.086,0.638,0.317,-1.235,0.944,0.117,4.328,-0.332,0.62
54,-0.123,-0.634,-0.461,-2.476,0.633,-0.131,4.35,0.724,-0.037,0.0,0.792,0.014,-0.069,0.133,0.268,-0.688,1.051,0.355,4.881,0.048,0.831
55,-0.37,-0.589,-0.456,-2.403,0.399,-0.346,3.705,0.693,0.085,0.0,0.75,-0.004,-0.264,0.636,0.346,-1.372,0.984,0.447,3.522,-0.407,0.388
56,-0.283,-0.394,-0.437,-2.285,0.636,-0.169,3.88,0.672,0.329,0.0,1.015,0.105,-0.546,0.352,0.2,-0.896,0.936,0.34,4.011,-0.084,0.701
57,-0.536,-0.496,-0.563,-2.295,0.373,-0.237,3.903,0.486,0.112,0.0,0.814,0.067,-0.265,0.317,0.182,-0.799,0.764,0.28,4.172,-0.052,0.772
58,-0.078,-0.377,-0.392,-2.262,0.494,-0.0,3.979,0.739,0.235,0.0,0.794,-0.089,-0.162,0.047,0.42,-0.754,0.719,0.262,4.487,0.107,0.828
59,-0.523,-0.433,-0.605,-2.239,0.475,-0.065,3.557,0.525,0.383,0.0,0.732,0.174,-0.394,0.098,0.392,-1.041,0.822,0.52,3.468,0.015,1.002
60,-0.676,-0.737,-0.486,-2.823,0.641,-0.259,4.575,0.53,0.4,0.0,1.014,0.077,-0.282,0.433,0.046,-1.152,1.194,0.357,4.635,-0.336,0.764
61,-0.396,-0.665,-0.356,-2.817,0.807,-0.143,4.857,0.605,0.327,0.0,0.974,-0.042,-0.155,0.103,0.36,-0.95,0.792,0.42,4.968,-0.001,0.786
62,-0.367,-0.49,-0.45,-2.286,0.453,-0.106,3.581,0.42,0.288,0.0,0.729,0.053,-0.133,0.217,0.322,-1.164,0.923,0.428,3.703,-0.279,0.693
63,-0.339,-0.645,-0.26,-2.145,0.497,-0.303,3.506,0.66,0.28,0.0,0.71,0.041,-0.232,0.796,0.078,-1.194,1.002,0.233,3.81,-0.179,0.677
64,-0.419,-0.847,-0.66,-2.611,0.257,-0.486,3.85,0.522,0.056,0.0,0.619,0.152,-0.152,0.74,0.328,-1.281,1.045,0.623,3.791,-0.299,0.829
65,-0.528,-0.734,-0.363,-2.251,0.501,-0.478,3.643,0.728,0.253,0.0,0.841,-0.094,-0.275,0.659,0.269,-1.344,0.974,0.3,3.561,-0.241,0.758
66,-0.222,-0.388,-0.641,-2.552,0.676,0.044,4.282,0.411,0.077,0.0,0.634,0.05,-0.286,0.197,0.055,-0.949,0.794,0.446,4.349,0.055,0.813
67,-0.574,-0.668,-0.68,-2.414,0.536,-0.195,3.857,0.57,0.277,0.0,0.752,0.246,-0.401,0.095,0.246,-1.026,0.958,0.593,3.85,-0.307,0.933
68,-0.284,-0.583,-0.421,-2.496,0.562,-0.231,4.312,0.645,0.206,0.0,0.883,-0.142,-0.251,0.265,0.256,-0.752,0.942,0.372,4.479,-0.123,0.769
69,-0.262,-0.518,-0.312,-1.946,0.221,-0.422,3.048,0.67,0.213,0.0,0.654,-0.274,-0.066,0.836,0.284,-1.171,0.913,0.127,2.902,-0.473,0.568
70,-0.346,-0.778,-0.543,-2.927,0.525,0.076,4.716,0.749,0.277,0.0,0.906,-0.207,-0.329,-0.052,0.47,-1.071,0.723,0.433,4.673,0.109,0.985
71,-0.685,-0.5,-0.525,-2.387,0.348,-0.213,4.182,0.608,0.39,0.0,0.729,0.066,-0.377,0.435,0.48,-0.929,0.864,0.369,4.259,-0.11,0.589
72,-0.273,-0.687,-0.477,-2.854,0.75,-0.242,4.476,0.792,0.356,0.0,0.807,0.025,-0.376,0.084,0.302,-0.981,0.752,0.484,4.23,-0.126,0.956
73,-0.292,-0.579,-0.693,-2.787,0.817,-0.075,4.702,0.483,0.11,0.0,0.948,0.129,-0.189,0.09,0.228,-0.905,0.921,0.668,4.898,-0.017,0.933
74,-0.113,-0.77,-0.717,-2.796,0.341,-0.386,4.284,0.772,0.122,0.0,0.737,0.142,-0.12,0.383,0.271,-1.176,0.933,0.74,4.31,-0.336,0.657
75,-0.569,-0.479,-0.712,-2.657,0.439,0.036,4.097,0.724,0.51,0.0,0.789,0.057,-0.354,-0.094,-0.142,-0.159,0.55,0.626,4.291,0.058,0.688
76,-0.326,-0.71,-0.734,-2.513,0.307,0.137,3.462,0.569,0.342,0.0,0.586,0.146,-0.313,-0.375,0.183,-0.735,0.659,0.871,3.615,0.15,0.894
77,-0.281,-0.551,-0.595,-2.401,0.506,-0.245,3.947,0.913,0.402,0.0,0.744,0.022,-0.335,0.098,0.391,-1.067,0.973,0.579,3.851,-0.202,0.518
78,0.076,-0.659,-0.489,-2.341,0.354,-0.357,3.851,0.663,0.046,0.0,0.648,-0.025,-0.255,0.451,0.259,-1.179,0.941,0.472,3.915,-0.211,0.659
79,-0.187,-0.685,-0.69,-2.865,0.678,0.324,5.205,0.708,-0.051,0.0,0.79,-0.031,-0.192,-0.402,0.228,-0.608,0.682,0.721,5.732,0.48,0.993
80,-0.406,-0.691,-0.62,-2.558,0.64,-0.253,4.292,0.791,0.156,0.0,0.953,0.245,-0.138,0.419,0.227,-1.146,0.907,0.5,4.287,-0.254,0.782
81,-0.327,-0.607,-0.605,-2.437,0.414,-0.231,4.16,0.664,0.305,0.0,0.902,-0.122,-0.287,0.46,0.333,-1.119,0.833,0.5,3.959,-0.429,0.677
82,-0.629,-0.788,-0.496,-2.905,0.686,-0.147,4.734,0.667,0.405,0.0,0.903,0.318,-0.352,0.289,0.132,-0.897,1.086,0.555,4.896,-0.094,0.893
83,-0.295,-0.788,-0.549,-2.848,0.601,0.206,4.753,0.651,-0.014,0.0,1.042,-0.074,-0.13,-0.135,0.142,-0.829,0.641,0.513,5.302,0.38,0.878
84,-0.058,-0.712,-0.424,-2.551,0.328,-0.301,3.375,0.638,0.198,0.0,0.736,-0.174,-0.245,0.468,0.132,-1.147,0.762,0.485,3.401,-0.163,0.782
85,-0.467,-0.722,-0.459,-2.928,0.869,0.128,5.383,0.778,0.328,0.0,1.129,0.008,-0.424,-0.041,0.154,-1.075,0.911,0.217,5.525,0.404,0.936
86,-0.431,-0.49,-0.475,-2.284,0.53,0.354,3.455,0.485,0.468,0.0,0.667,-0.097,-0.491,-0.389,0.159,-0.538,0.582,0.438,3.708,0.44,1.024
87,-0.227,-0.622,-0.55,-2.483,0.582,-0.013,4.341,0.769,0.23,0.0,1.009,0.242,-0.276,0.167,0.018,-0.824,0.903,0.341,4.387,0.029,0.916
88,-0.025,-0.777,-0.785,-3.132,0.648,0.395,4.635,0.851,0.294,0.0,0.472,-0.274,-0.249,-0.657,0.272,-0.319,0.354,0.893,5.0,0.481,0.957
89,-0.402,-0.412,-0.444,-2.439,0.576,-0.069,3.891,0.381,0.122,0.0,0.676,-0.006,-0.023,0.234,0.204,-0.913,0.822,0.609,4.136,-0.21,0.475
90,-0.27,-0.354,-0.564,-2.441,0.552,-0.328,3.715,0.527,0.063,0.0,0.546,-0.035,-0.143,0.501,0.328,-1.083,0.778,0.544,4.022,-0.202,0.522
91,-0.001,-0.47,-0.759,-2.759,0.346,-0.077,3.743,0.83,0.166,0.0,0.46,-0.058,-0.264,-0.001,0.03,-0.806,0.752,0.729,3.971,0.018,0.808
92,-0.224,-0.517,-0.445,-2.609,0.645,0.019,4.509,0.588,0.045,0.0,1.205,0.14,-0.024,0.176,0.26,-0.986,0.857,0.34,5.253,0.31,0.735
93,-0.355,-0.635,-0.558,-2.601,0.806,0.066,4.53,0.562,0.138,0.0,0.871,0.115,-0.125,-0.031,0.238,-1.108,1.124,0.34,4.975,0.145,0.868
94,-0.585,-0.487,-0.564,-2.368,0.262,-0.346,4.011,0.566,0.362,0.0,0.703,-0.149,-0.063,0.512,0.169,-0.97,0.66,0.473,3.856,-0.335,0.645
95,-0.111,-0.497,-0.287,-2.188,0.307,-0.215,3.758,0.691,0.038,0.0,0.83,-0.018,-0.105,0.668,0.212,-1.115,0.868,0.18,4.031,0.049,0.67
96,-0.199,-0.31,-0.503,-2.244,0.361,-0.217,3.317,0.539,0.227,0.0,0.548,-0.165,-0.216,0.356,0.233,-0.883,0.689,0.385,3.462,-0.031,0.713
97,-0.235,-0.62,-0.626,-2.367,0.327,-0.318,3.527,0.522,0.056,0.0,0.57,0.199,-0.137,0.562,0.24,-0.926,0.851,0.514,3.581,-0.306,0.728
98,-0.354,-0.558,-0.62,-2.415,0.6,-0.168,3.94,0.586,0.348,0.0,0.822,0.012,-0.163,0.329,0.171,-1.074,0.905,0.456,4.13,-0.224,0.656
99,-0.167,-0.714,-0.551,-2.983,0.557,0.178,4.738,0.794,0.203,0.0,0.774,0.073,-0.37,0.036,0.152,-0.805,0.766,0.538,5.004,0.368,0.674
100,-0.487,-0.353,-0.505,-2.363,0.326,-0.334,3.615,0.575,0.325,0.0,0.67,0.264,-0.326,0.385,-0.049,-0.78,1.023,0.448,3.631,-0.2,0.642
101,-0.237,-0.736,-0.639,-2.861,0.524,-0.174,4.629,0.958,0.245,0.0,0.758,0.115,-0.281,-0.037,0.408,-1.159,1.096,0.678,4.632,-0.286,0.72
102,-0.498,-0.352,-0.239,-2.022,0.407,-0.268,3.539,0.536,0.425,0.0,1.012,0.102,-0.326,0.741,0.167,-1.306,1.033,0.066,3.671,-0.143,0.751
103,-0.464,-0.614,-0.525,-2.624,0.369,-0.286,4.3,0.619,0.109,0.0,0.998,-0.05,-0.337,0.437,0.316,-1.331,0.837,0.446,4.093,-0.22,0.797
104,-0.297,-0.654,-0.609,-2.758,0.4,-0.215,4.37,0.662,0.146,0.0,0.639,0.118,-0.299,0.185,0.279,-1.004,0.864,0.568,4.283,0.006,0.781
105,-0.551,-0.41,-0.47,-2.281,0.481,-0.506,3.648,0.703,0.53,0.0,0.643,0.023,-0.328,0.573,0.446,-1.291,0.901,0.626,3.526,-0.437,0.553
